package,city,place_tourism1,place_tourism2,place_tourism3,place_tourism4,place_tourism5,places
32,Yogyakarta,Bukit Wisata Pulepayung,Hutan Pinus Asri,Kebun Teh Nglinggo,Goa Pindul,Wisata Kalibiru,Bukit Wisata Pulepayung Hutan Pinus Asri Kebun Teh Nglinggo Goa Pindul Wisata Kalibiru
33,Yogyakarta,Pantai Glagah,Pantai Drini,Pantai Wediombo,Pantai Jogan,Pantai Ngrenehan,Pantai Glagah Pantai Drini Pantai Wediombo Pantai Jogan Pantai Ngrenehan
34,Yogyakarta,Desa Wisata Sungai Code Jogja Kota,Kawasan Malioboro,Kauman Pakualaman Yogyakarta,None,None,Desa Wisata Sungai Code Jogja Kota Kawasan Malioboro Kauman Pakualaman Yogyakarta None None
35,Yogyakarta,Kampung Wisata Taman Sari,Monumen Serangan Umum 1 Maret,Puncak Kebun Buah Mangunan,Seribu Batu Songgo Langit,"Bukit Paralayang, Watugupit","Kampung Wisata Taman Sari Monumen Serangan Umum 1 Maret Puncak Kebun Buah Mangunan Seribu Batu Songgo Langit Bukit Paralayang, Watugupit"
36,Yogyakarta,Jurang Tembelan Kanigoro,Lava Bantal,Watu Goyang,Watu Lumbung,None,Jurang Tembelan Kanigoro Lava Bantal Watu Goyang Watu Lumbung None
37,Yogyakarta,De Mata Museum Jogja,Kampung Wisata Kadipaten,Tebing Breksi,Bentara Budaya Yogyakarta (BBY),None,De Mata Museum Jogja Kampung Wisata Kadipaten Tebing Breksi Bentara Budaya Yogyakarta (BBY) None
38,Yogyakarta,Watu Lumbung,Bunker Kaliadem Merapi,Goa Rancang Kencono,Pintoe Langit Dahromo,Wisata Kaliurang,Watu Lumbung Bunker Kaliadem Merapi Goa Rancang Kencono Pintoe Langit Dahromo Wisata Kaliurang
39,Yogyakarta,Sindu Kusuma Edupark (SKE),Taman Pelangi Yogyakarta,The Lost World Castle,The World Landmarks - Merapi Park Yogyakarta,None,Sindu Kusuma Edupark (SKE) Taman Pelangi Yogyakarta The Lost World Castle The World Landmarks - Merapi Park Yogyakarta None
40,Yogyakarta,Pasar Beringharjo,Pasar Kebon Empring Bintaran,Kawasan Wisata Sosrowijayan,None,None,Pasar Beringharjo Pasar Kebon Empring Bintaran Kawasan Wisata Sosrowijayan None None
41,Bandung,Dago Dreampark,Orchid Forest Cikole,Jendela Alam,Sudut Pandang Bandung,None,Dago Dreampark Orchid Forest Cikole Jendela Alam Sudut Pandang Bandung None
42,Bandung,Gunung Tangkuban Perahu,Gunung Papandayan,Gunung Manglayang,Curug Dago,Curug Batu Templek,Gunung Tangkuban Perahu Gunung Papandayan Gunung Manglayang Curug Dago Curug Batu Templek
43,Bandung,Museum Geologi Bandung,Museum Sri Baduga,Museum Pendidikan Nasional,Taman Film,Museum Nike Ardilla,Museum Geologi Bandung Museum Sri Baduga Museum Pendidikan Nasional Taman Film Museum Nike Ardilla
44,Bandung,Museum Konferensi Asia Afrika,Monumen Perjuangan Rakyat Jawa Barat,Museum Mandala Wangsit Siliwangi,Taman Sejarah Bandung,None,Museum Konferensi Asia Afrika Monumen Perjuangan Rakyat Jawa Barat Museum Mandala Wangsit Siliwangi Taman Sejarah Bandung None
45,Bandung,Kyotoku Floating Market,Mountain View Golf Club,Trans Studio Bandung,None,None,Kyotoku Floating Market Mountain View Golf Club Trans Studio Bandung None None
46,Bandung,Glamping Lakeside Rancabali,Taman Miniatur Kereta Api,Kota Mini,None,None,Glamping Lakeside Rancabali Taman Miniatur Kereta Api Kota Mini None None
47,Bandung,Gereja Katedral Santo Petrus Bandung,Masjid Pusdai,Masjid Al-Imtizaj,None,None,Gereja Katedral Santo Petrus Bandung Masjid Pusdai Masjid Al-Imtizaj None None
48,Bandung,Caringin Tilu,Curug Anom,Bukit Jamur,Kebun Tanaman Obat Sari Alam,None,Caringin Tilu Curug Anom Bukit Jamur Kebun Tanaman Obat Sari Alam None
49,Bandung,NuArt Sculpture Park,Pesona Nirwana Waterpark & Cottages, Panama Park 825,Water Park Bandung Indah,Chingu Cafe Little Seoul,NuArt Sculpture Park Pesona Nirwana Waterpark & Cottages  Panama Park 825 Water Park Bandung Indah Chingu Cafe Little Seoul
50,Bandung,Taman Hutan Raya Ir. H. Djuanda,Tebing Karaton,Kampung Korea Bandung,Kiara Artha Park,| Peta Park,Taman Hutan Raya Ir. H. Djuanda Tebing Karaton Kampung Korea Bandung Kiara Artha Park | Peta Park
51,Bandung,Situ Patenggang,Rainbow Garden,Kota Mini,None,None,Situ Patenggang Rainbow Garden Kota Mini None None
52,Bandung,Taman Begonia,Curug Malela,Taman Kupu-Kupu Cihanjuang,Gua Pawon,Stone Garden Geopark,Taman Begonia Curug Malela Taman Kupu-Kupu Cihanjuang Gua Pawon Stone Garden Geopark
53,Bandung,Alun-Alun Kota Bandung,Taman Balai Kota Bandung,Teras Cikapundung BBWS,Taman Vanda,Ade Irma Suryani Nasution Traffic Park,Alun-Alun Kota Bandung Taman Balai Kota Bandung Teras Cikapundung BBWS Taman Vanda Ade Irma Suryani Nasution Traffic Park
54,Bandung,Rainbow Garden,Kota Mini,Rainbow Garden,Kota Mini,None,Rainbow Garden Kota Mini Rainbow Garden Kota Mini None
55,Bandung,Masjid Raya Bandung,Taman Lansia,Monumen Bandung Lautan Api,Museum Pos Indonesia,None,Masjid Raya Bandung Taman Lansia Monumen Bandung Lautan Api Museum Pos Indonesia None
56,Bandung,Kawah Putih,Panghegar Waterboom Bandung,Saung Angklung Mang Udjo,None,None,Kawah Putih Panghegar Waterboom Bandung Saung Angklung Mang Udjo None None
57,Bandung,Museum Gedung Sate,Roemah Seni Sarasvati,Museum Pendidikan Nasional,Taman Film,Museum Nike Ardilla,Museum Gedung Sate Roemah Seni Sarasvati Museum Pendidikan Nasional Taman Film Museum Nike Ardilla
58,Bandung,Kebun Binatang Bandung,Lembang Park & Zoo,Curug Cipanas,Tafso Barn,None,Kebun Binatang Bandung Lembang Park & Zoo Curug Cipanas Tafso Barn None
59,Bandung,Kawasan Punclut,Lawangwangi Creative Space,Curug Tilu Leuwi Opat,Taman Budaya Jawa Barat,Curug Bugbrug,Kawasan Punclut Lawangwangi Creative Space Curug Tilu Leuwi Opat Taman Budaya Jawa Barat Curug Bugbrug
60,Bandung,Curug Dago,Curug Batu Templek,Curug Aseupan,Curug Anom,Curug Luhur Waterfall,Curug Dago Curug Batu Templek Curug Aseupan Curug Anom Curug Luhur Waterfall
61,Semarang,Candi Gedong Songo,Lawang Sewu,Sam Poo Kong Temple,None,None,Candi Gedong Songo Lawang Sewu Sam Poo Kong Temple None None
62,Semarang,Grand Maerakaca,Kampung Pelangi,Desa Wisata Lembah Kalipancur,Taman Kasmaran,None,Grand Maerakaca Kampung Pelangi Desa Wisata Lembah Kalipancur Taman Kasmaran None
63,Semarang,Pantai Baruna,Pantai Marina, Pantai Cipta,None,None,Pantai Baruna Pantai Marina  Pantai Cipta None None
64,Semarang,Indonesia Kaya Park,Taman Pandanaran,Taman Srigunting,None,None,Indonesia Kaya Park Taman Pandanaran Taman Srigunting None None
65,Semarang,Jembatan Biru Ambarawa,Masjid Agung Ungaran,Tugu Muda Semarang,Taman Tabanas,Kampung Tematik Jawi,Jembatan Biru Ambarawa Masjid Agung Ungaran Tugu Muda Semarang Taman Tabanas Kampung Tematik Jawi
66,Semarang,Air Terjun Semirang,Obyek Wisata Goa Kreo,Watu Gunung Ungaran,Brown Canyon,Durian Gardens and Tourism Education Watu Simbar,Air Terjun Semirang Obyek Wisata Goa Kreo Watu Gunung Ungaran Brown Canyon Durian Gardens and Tourism Education Watu Simbar
67,Semarang,Saloka Theme Park,Water Blaster Bukit Candi Golf,Kampoeng Kopi Banaran,None,None,Saloka Theme Park Water Blaster Bukit Candi Golf Kampoeng Kopi Banaran None None
68,Semarang,Water Blaster Bukit Candi Golf,Kampung Batik Gedong Semarang,Semarang Gallery,Flower Farm Setiya Aji,None,Water Blaster Bukit Candi Golf Kampung Batik Gedong Semarang Semarang Gallery Flower Farm Setiya Aji None
69,Semarang,Waduk Jatibarang,Wisata Lereng Kelir,Kampoeng Rawa,Wisata Eling Bening,Gua Maria Kerep Ambarawa,Waduk Jatibarang Wisata Lereng Kelir Kampoeng Rawa Wisata Eling Bening Gua Maria Kerep Ambarawa
70,Semarang,Kampoeng Djadhoel Semarang,Pura Giri Natha,Old City 3D Trick Art Museum,Semarang Contemporary Art Gallery,None,Kampoeng Djadhoel Semarang Pura Giri Natha Old City 3D Trick Art Museum Semarang Contemporary Art Gallery None
71,Semarang,Wisata Lereng Kelir,Monumen Palagan Ambarawa,Benteng Pendem,Museum Kereta Ambarawa,Hutan Pinus Kayon,Wisata Lereng Kelir Monumen Palagan Ambarawa Benteng Pendem Museum Kereta Ambarawa Hutan Pinus Kayon
72,Semarang,GPIB Immanuel Semarang (Gereja Blenduk),Masjid Kapal Semarang,Masjid Agung Ungaran,None,None,GPIB Immanuel Semarang (Gereja Blenduk) Masjid Kapal Semarang Masjid Agung Ungaran None None
